id,danceability,energy,valence,mood
6C4LXC9UFH1IKiHYOp0BiJ,0.543,0.944,0.735,angry
5sSXr1JtSXW3825ZKfB9Rv,0.171,0.272,0.0364,sad
5gQ0LTbcX7gpQDg39gNLH8,0.166,0.956,0.238,angry
35ItUJlMtjOQW3SSiTCrrw,0.599,0.762,0.715,happy
1i6N76fftMZhijOzFQ5ZtL,0.721,0.521,0.942,angry
7xr2VCG56Vlb3skQqHWPA9,0.66,0.555,0.442,relaxed
4l2ljvyXOCVNbD5ff7NpM7,0.863,0.781,0.764,happy
4fq2YUONcgrCJ2SPndSeKC,0.209,0.872,0.294,sad
0IW0qaeyxL5Et4UG2MrJKB,0.595,0.754,0.647,happy
5Vm75e7iLljI6VHVFnLhs0,0.582,0.608,0.623,relaxed
2VHNsY89s3OW8eKA27PZc5,0.591,0.907,0.391,sad
3gQG7J5VZ2nOJkP76iIHHL,0.19,0.278,0.114,sad
5EYdTPdJD74r9EVZBztqGG,0.831,0.735,0.97,happy
7vrLphPq4yjaX7jiDdd2Nc,0.623,0.983,0.271,angry
2rCpTzi4WhncSCLlS6xf3O,0.265,0.869,0.492,angry
7aA3I3WevNCVeipuxHlnjO,0.558,0.84,0.64,happy
6iCsxY7ylVPS9Okw6QZfAU,0.373,0.952,0.342,sad
7wvv3OLPrX0pENjcDDLLbS,0.458,0.427,0.36,sad
0ZenWYpn5zoCCv9fZEZUte,0.351,0.835,0.752,happy
1ZR4QAYsiO9zPsGaMPW2OI,0.488,0.976,0.404,angry
1GCaJJ1JoTTlD6SvNTVlqo,0.812,0.546,0.871,relaxed
65pA1qrwArWQEYYzM7QpNN,0.55,0.594,0.581,sad
1k9fcGWwrnyuij2Lvd3OHs,0.552,0.519,0.509,relaxed
1q0wCfrE9eGFMzS2g8aVnx,0.351,0.21,0.394,sad
6xzzm22bl8aHP3cdPPLIrO,0.726,0.449,0.358,relaxed
40hrL4q3dxErnwzpIof6fc,0.385,0.465,0.104,sad
0iGu0ULXUSJRvXPCeEqHhO,0.316,0.151,0.263,sad
0mJwpq720tBgx8cNgrW8jo,0.627,0.524,0.206,sad
5jcNL4DreI4z4XnTfsx9SQ,0.554,0.345,0.542,happy
3tAa7azwNATrbRzDspSB2T,0.544,0.945,0.801,happy
7jcLeqojncPZAFh2VUO7mD,0.532,0.247,0.67,relaxed
3tYksAuEMrfk2t9kYjJs2h,0.568,0.866,0.558,happy
1pK1q6sBrGDUU9pMr3wFO1,0.507,0.522,0.485,happy
1RbOObDFn7GOseR1w529Zj,0.752,0.743,0.832,happy
2M4PVaTJGjXV91X8HAVQEx,0.517,0.893,0.248,happy
0o6168outk6kD3g6wq11j9,0.483,0.855,0.555,angry
4UvwXOGb1J39WUutrlXwTF,0.579,0.729,0.758,relaxed
4zfOtyoKyu9y27KQphnIXp,0.54,0.634,0.0941,relaxed
1vq6x0VSLtVUHMbNKHh9sF,0.551,0.828,0.802,relaxed
2u3egbFh5LZsiRTFPFi1LC,0.404,0.0819,0.18,sad
2gLDC8qAQEcuyKfiqyQbme,0.633,0.647,0.422,relaxed
40GFPBolcy0yucApV9uxq2,0.431,0.626,0.762,sad
66Yxbr2UODJjVBKdZtbnOL,0.57,0.301,0.808,happy
0fi1QF49lMHZ0xvzZtYIZJ,0.631,0.101,0.144,relaxed
3NHXj1DBuoxA7HL0xfQAZC,0.718,0.806,0.929,happy
22QiTJqDn1BIRSh4mkNJ5w,0.68,0.389,0.68,relaxed
2eNgh1bLsub7bBo9Nr0DdI,0.706,0.471,0.926,happy
2bku1YWarHpKlxVC2FB9dH,0.359,0.625,0.524,angry
0oIox8T3bdGZnhQKnaDK2a,0.442,0.906,0.705,angry
0QRxtcxL31dRAeiUUuENPu,0.332,0.946,0.303,angry
52M96UxJzKkHFSHGNiu8Du,0.285,0.914,0.144,angry
0ypg59NyOVCpWVzd0SUsT5,0.607,0.941,0.414,sad
4KpznDWSOWEJIvtJCEuNKR,0.546,0.325,0.496,relaxed
59tAS0swoeibMJQzySh6FH,0.715,0.579,0.806,happy
04e4GZMIeIuNPdXHklww01,0.21,0.898,0.421,happy
4xq3UOgaWBW2v3OklhZ8l6,0.408,0.0583,0.0348,sad
6Zewjs7at1sPyc03lUoAHB,0.439,0.647,0.567,relaxed
0MuJLuEaZuXX8aMBFCrTE4,0.307,0.987,0.0395,angry
1KhzUR6N12DxX4WLXK4AFs,0.317,0.995,0.111,angry
