id,energy,valence,danceability
2106G7MY2XnVyqij2bJVGH,0.836,0.333,0.507
4WiiRw2PHMNQE0ad6y6GdD,0.938,0.607,0.614
2DlHlPMa4M17kufBvI2lEN,0.934,0.286,0.419
5OxyHotdy7y789r3UQcHAB,0.0582,0.0514,0.341
18cST7DK31Ab2rTH1POP6A,0.87,0.778,0.6990000000000001
6u1ymcw9MTK9mPGy8XdvEb,0.0754,0.0366,0.18
7bKMZYXVYzGMvnHiRDCmjy,0.136,0.0505,0.421
1LMVGL3030W3mGmRrd2hCm,0.935,0.51,0.607
2TFQPFUqRtgj1auq9b5PlR,0.24,0.0968,0.351
7kpZ9isu48poYKpaAb0wiR,0.144,0.0491,0.431
1q3AoLCoawd8Gpm9wP7sHi,0.421,0.787,0.941
6chZg1OMXz9VN3MQCr4cNf,0.6629999999999999,0.142,0.619
2dVvMXDWBY0U7VjCjOjVH9,0.39,0.133,0.5670000000000001
3jP962JoLAn9p4wCDdx4My,0.229,0.0562,0.305
5uzNa0SBGOe5pPnstWHMCt,0.615,0.812,0.466
0Yb5Kfpf3boElZNa61wPdJ,0.856,0.847,0.476
30ACOtgBj1PqZs1erzFZkU,0.139,0.106,0.198
261QAU5PAmYYv0KPr0vc49,0.677,0.551,0.696
7sTtHHrD0zDpmzQzH3zegz,0.292,0.43,0.455
4THgqBGsTYJcNcQWCV92AP,0.1369999999999999,0.0644,0.242
7GL2SOvJXs8QVLX0cUADeq,0.925,0.5670000000000001,0.825
1J1wnDwBjkFvDVOxNOLVjY,0.955,0.447,0.6859999999999999
0gj8zftpww3PXx8xea7Ygn,0.0302,0.237,0.635
1FXlhqcYaiw6KuUYtXdtAi,0.456,0.238,0.6890000000000001
1eK4KsyjAzr2xJ86Tj5SWa,0.932,0.698,0.5920000000000001
1vxw6aYJls2oq3gW0DujAo,0.5870000000000001,0.64,0.855
6LqbJXriVJyqJCd9jYoPqP,0.977,0.731,0.512
1ytTeSRAU6IRo2itVDwtPv,0.43,0.104,0.515
08Q4GyxnB8ak1ZwHnjwova,0.189,0.0755,0.542
0uESMJnrEKYnZoRbNTvmpB,0.695,0.4320000000000001,0.379
0gUAGl4nHShy1dzHikQKKU,0.0257,0.144,0.482
3WEdWvAScE1EcBfErseQnC,0.256,0.173,0.43
5lZyYNi8OfFWKiX1p9zDQP,0.231,0.0882,0.391
5Iy1wdO0tMaHwKnfFYtlel,0.267,0.166,0.494
7kMPC3vgXk3o9xUP3GWAJ0,0.4920000000000001,0.6659999999999999,0.639
4o9Kj7onklt6xbYl3jVArp,0.696,0.93,0.722
02WacdrRpm4zlP8H7X6bnQ,0.174,0.193,0.608
4O5GKVbnQ8U9BxYWu0hIug,0.98,0.643,0.555
1TQXIltqoZ5XXyfCbAeSQQ,0.327,0.381,0.629
43cElHKBLhVdsz0cPETPIj,0.407,0.17,0.516
10Nmj3JCNoMeBQ87uw5j8k,0.913,0.73,0.556
1OdpIb0nzhDcqwkiYp0O1u,0.475,0.453,0.642
36I7pi5g6XZJm3bcgqmLyE,0.359,0.348,0.6940000000000001
